OID_,fd_id,bid,cbfips,st_damcat,occtype,bldgtype,number_of_story,sqft,foundation,FFE,med_yr_blt,BRV,val_cont,val_vehic,ftprntid,ftprntsrc,source,students,pop2amu65,pop2amo65,pop2pmu65,pop2pmo65,o65disable,u65disable,y_column,x_column,flood_zone,grnd_elv_m,DEM,R10,R50,R100,R500
33209,487428336,76X6MGF7+P9G-3-3-3-3,4.82E+14,RES,RES1-1SNB,W,1,2030,no_basement,0.5,1964,254390.81,127195.405,27000,48201_1318348,Bing,P,0,2,0,1,0,0.24,0.03,29.67431365,-95.48654954,A/AE,16.82971954,55.21561707,55.17666,56.87173,57.64954,59.19952
33210,487428337,76X6MGF6+VMP-3-3-3-3,4.82E+14,RES,RES1-2SNB,M,2,2040,no_basement,1.5,1964,255297.513,127648.756,27000,48201_1318349,Bing,P,0,2,0,1,0,0.24,0.03,29.6747122,-95.48830391,A/AE,16.67076683,54.69411865,55.26138,56.95795,57.72477,59.24252
33214,487428341,76X6MGF6+RRH-3-4-5-5,4.82E+14,RES,RES1-1SNB,W,1,2850,no_basement,0.5,1964,310038.817,155019.408,27000,48201_1318354,Bing,P,0,3,1,1,1,0.24,0.03,29.67455418,-95.48790399,A/AE,16.6441803,54.60689249,55.24339,56.93964,57.70879,59.23338
33215,487428342,76X6MGF6+RW9-2-3-3-2,4.82E+14,RES,RES1-2SNB,M,2,2200,no_basement,1.5,1964,267350.16,133675.08,27000,48201_1318355,Bing,P,0,3,1,2,1,0.24,0.03,29.67452955,-95.48763422,A/AE,16.70345688,54.80136947,55.22955,56.92555,57.6965,59.22636
33217,487428344,76X6MGF6+RGJ-2-2-1-1,4.82E+14,RES,RES1-3SNB,S,2,2409,no_basement,0.5,1964,294239.442,147119.721,27000,48201_1318358,Bing,P,0,2,0,1,0,0.24,0.03,29.67459814,-95.48872731,A/AE,16.70861244,54.81828404,55.28044,56.97734,57.74169,59.25219
33218,487428345,76X6MGF6+P93-4-3-4-3,4.82E+14,RES,RES1-1SNB,W,1,2062,no_basement,0.5,1964,256782.258,128391.129,27000,48201_1318359,Bing,P,0,2,0,1,0,0.24,0.03,29.6742589,-95.4890817,A/AE,16.76089096,54.9898015,55.29604,56.99321,57.75555,59.26011
33220,487428347,76X6MGF6+WFX-5-4-5-4,4.82E+14,RES,RES1-1SWB,W,1,2257,basement,2,1964,361777.272,180888.636,27000,48201_1318361,Bing,P,0,2,1,1,1,0.24,0.03,29.67485041,-95.4887711,A/AE,16.72289658,54.865148,55.2846,56.98158,57.74539,59.2543
33221,487428618,76X6MGF6+QC7-5-4-5-4,4.82E+14,RES,RES1-2SNB,W,2,2447,no_basement,0.5,1964,283897.076,141948.538,27000,48201_1318362,Bing,P,0,2,0,1,0,0.24,0.03,29.67441864,-95.48895113,A/AE,16.70511055,54.8067949,55.29074,56.98783,57.75084,59.25742
35719,487428656,76X6MGF6+WH4-5-4-5-5,4.82E+14,RES,RES1-1SNB,W,1,2282,no_basement,0.5,1964,271863.463,135931.731,27000,48201_1318365,Bing,P,0,2,1,1,1,0.24,0.03,29.67477189,-95.48855648,A/AE,16.78943062,55.08343555,55.27044,56.96717,57.73282,59.24712
35727,487428673,76X6MGF6+H77-4-4-6-4,4.82E+14,RES,RES1-1SNB,W,1,2662,no_basement,0.5,1964,297584.058,148792.029,27000,48201_1318374,Bing,P,0,2,0,1,0,0.24,0.03,29.67390019,-95.48933228,A/AE,16.83516121,55.2334703,55.31139,57.00884,57.76918,59.2679
35729,487428677,76X6MGF6+VQ2-4-4-3-4,4.82E+14,RES,RES1-2SNB,M,2,3216,no_basement,0.5,1964,332170.451,166085.225,27000,48201_1318377,Bing,P,0,2,0,1,0,0.24,0.03,29.6746424,-95.48811452,A/AE,16.54382324,54.27763705,55.25234,56.94875,57.71675,59.23793
35732,487428681,76X6MGF7+Q4C-4-4-4-3,4.82E+14,RES,RES1-1SNB,W,1,2547,no_basement,0.5,1964,289702.654,144851.327,27000,48201_1318422,ORNL,P,0,2,1,1,1,0.24,0.03,29.67443606,-95.48722199,A/AE,16.62749481,54.55215008,55.21141,56.90709,57.6804,59.21716
39787,487434953,76X6MGJH+659-2-2-2-1,4.82E+14,RES,RES1-3SNB,S,2,5306,no_basement,0.5,1961,479945.448,239972.724,27000,48201_1321868,Bing,P,0,3,1,1,1,0.24,0.03,29.680544,-95.472004,A/AE,16.06216431,52.69739114,52.73085,54.6465,55.83698,57.18111
39789,487434955,76X6MGJH+4GP-7-4-6-5,4.82E+14,RES,RES1-1SNB,W,1,5557,no_basement,0.5,1961,377498.124,188749.062,27000,48201_1321872,Bing,P,0,2,0,1,0,0.24,0.03,29.68034163,-95.47117169,A/AE,15.93345737,52.27512429,52.62767,54.54477,55.75979,57.11468
39792,487434958,76X6MGJH+4JH-3-3-2-4,4.82E+14,RES,RES1-1SNB,W,1,2612,no_basement,0.5,1961,294212.556,147106.278,27000,48201_1321876,Bing,P,0,2,0,1,0,0.24,0.03,29.6803213,-95.47089938,A/AE,15.93719673,52.28739252,52.58862,54.50628,55.73058,57.08954
39794,487434960,76X6MGJH+369-6-3-4-3,4.82E+14,RES,RES1-2SNB,W,2,5098,no_basement,1.5,1961,451722.865,225861.432,27000,48201_1321878,Bing,P,0,3,1,1,1,0.24,0.03,29.68016267,-95.47189577,A/AE,15.85367584,52.01337385,52.71972,54.63553,55.82866,57.17394
39796,487434962,76X6MGJH+38Q-4-4-3-3,4.82E+14,RES,RES1-1SNB,W,1,2626,no_basement,0.5,1961,295165.136,147582.568,27000,48201_1321880,Bing,P,0,2,0,1,0,0.24,0.03,29.68020702,-95.47162683,A/AE,15.98977184,52.45988305,52.68068,54.59703,55.79945,57.1488
39800,487434966,76X6MGJH+3CX-3-3-3-3,4.82E+14,RES,RES1-2SNB,M,2,4111,no_basement,1.5,1961,396409.931,198204.965,27000,48201_1321885,Bing,P,0,3,1,1,1,0.24,0.03,29.68023273,-95.4713881,A/AE,15.95350075,52.34088339,52.65465,54.57137,55.77997,57.13205
48095,487443271,76X6JGX8+X5J-2-4-1-4,4.82E+14,RES,RES1-1SNB,W,1,1800,no_basement,0.5,1962,134505.36,67252.68,27000,48201_1326350,Bing,P,0,2,0,1,0,0.24,0.03,29.64995407,-95.48460564,A/AE,16.77852249,55.04764773,55.17612,56.68725,57.24405,58.42986
49689,487444871,76X6MGG7+MP8-14-2-13-2,4.82E+14,RES,RES1-1SNB,W,1,1064,no_basement,0.5,1968,112274.386,56137.1932,27000,48201_1327409,Bing,P,0,2,0,1,0,0.24,0.03,29.67667001,-95.48565973,A/AE,16.51053047,54.16840879,55.03401,56.70779,57.50317,59.08316
51341,487446473,76X6MGJG+MJ7-4-3-5-4,4.82E+14,RES,RES1-2SNB,W,2,4701,no_basement,0.5,1960,429749.711,214874.855,27000,48201_1328769,Bing,P,0,2,0,1,0,0.24,0.03,29.68166378,-95.47345789,A/AE,16.15863419,53.01389338,52.88629,54.79637,55.95274,57.28354
51349,487446481,76X6MGJG+GJV-3-3-3-4,4.82E+14,RES,RES1-2SNB,W,2,4306,no_basement,0.5,1960,408083.069,204041.534,27000,48201_1328777,Bing,P,0,2,1,1,1,0.24,0.03,29.68135261,-95.47346741,A/AE,16.15553093,53.00371209,52.88662,54.7966,55.95298,57.28383
57371,487452571,76X6MGH6+448-4-5-4-4,4.82E+14,RES,RES1-1SNB,W,1,2554,no_basement,0.5,1964,270917.639,135458.819,27000,48201_1332746,Bing,P,0,2,0,1,0,0.24,0.03,29.67777789,-95.4896656,A/AE,16.65669823,54.64796181,55.33171,57.02951,57.78722,59.27821
67714,487462898,76X6JGX5+JJ2-3-3-3-3,4.82E+14,RES,RES1-1SWB,W,1,1800,basement,2,1965,254065.68,127032.84,27000,48201_1340965,Bing,P,0,2,0,1,0,0.24,0.03,29.64901949,-95.49098064,A/AE,17.03498268,55.88905258,55.991,57.49915,58.03506,59.30629
67739,487462923,76X6JGX5+HQ8-3-4-4-4,4.82E+14,RES,RES1-1SNB,W,1,1780,no_basement,0.5,1965,217116.71,108558.355,27000,48201_1340990,Bing,P,0,2,0,1,0,0.24,0.03,29.64890881,-95.49055864,A/AE,17.07281494,56.01317417,55.94851,57.46112,57.99757,59.26324
68519,487463703,76X6PG2F+C4C-3-3-4-4,4.82E+14,RES,RES1-1SNB,C,1,2452,no_basement,1.5,1970,165366.263,82683.1318,27000,48201_1342631,Bing,P,0,2,1,1,1,0.24,0.03,29.70105977,-95.47724853,A/AE,16.42860222,53.8996153,54.07144,55.66377,56.59553,58.1246
68524,487463708,76X6PG2F+G3R-3-3-3-3,4.82E+14,RES,RES1-1SNB,C,1,1346,no_basement,0.5,1970,110627.971,55313.9857,27000,48201_1342636,Bing,P,0,2,0,0,0,0.24,0.03,29.70136358,-95.47735421,A/AE,16.46436501,54.01694728,54.09609,55.68226,56.60758,58.13514
68525,487463709,76X6PG2C+CVV-3-3-3-3,4.82E+14,RES,RES1-1SWB,C,1,1716,basement,2,1970,166127.071,83063.5359,27000,48201_1342637,Bing,P,0,2,0,0,0,0.24,0.03,29.701112,-95.4778315,A/AE,16.46354866,54.01426899,54.50848,55.99133,56.80891,58.31074
68547,487463731,76X6PG2F+92W-4-4-4-3,4.82E+14,RES,RES1-2SNB,W,2,3921,no_basement,1.5,1970,240894.265,120447.132,27000,48201_1342662,Bing,P,0,2,0,0,0,0.24,0.03,29.70098164,-95.47741121,A/AE,16.47958374,54.06687752,54.1251,55.70401,56.62176,58.14755
68549,487463733,76X6PG2F+F53-4-3-4-4,4.82E+14,RES,RES1-2SNB,W,2,3765,no_basement,1.5,1970,233526.722,116763.361,27000,48201_1342664,Bing,P,0,3,1,1,1,0.24,0.03,29.7011458,-95.47709183,A/AE,16.33514214,53.59298772,54.01778,55.62353,56.56929,58.10165
68560,487463743,76X6PG2C+8WC-2-1-2-2,4.82E+14,RES,RES1-1SNB,W,1,1296,no_basement,0.5,1970,108230.349,54115.1746,27000,48201_1342706,ORNL,P,0,2,0,0,0,0.24,0.03,29.70081799,-95.4777492,A/AE,16.52284431,54.20880854,54.4805,55.97057,56.79554,58.29958
68790,487463973,76X6MGFC+PWC-4-3-5-4,4.82E+14,RES,RES1-1SNB,W,1,2286,no_basement,0.5,1964,272115.687,136057.843,27000,48201_1343147,Bing,P,0,2,0,1,0,0.24,0.03,29.67430481,-95.47774427,A/AE,16.34113121,53.61263692,54.53726,56.01759,56.83138,58.32916
68792,487463975,76X6MGFC+HWC-3-3-2-2,4.82E+14,RES,RES1-2SNB,W,2,2837,no_basement,0.5,1964,306970.398,153485.199,27000,48201_1343151,Bing,P,0,3,1,1,1,0.24,0.03,29.6739465,-95.4777245,A/AE,16.45157242,53.97497685,54.53606,56.01648,56.83041,58.32835
68793,487463976,76X6MGFC+PJQ-2-2-4-4,4.82E+14,RES,RES1-1SNB,W,1,2252,no_basement,0.5,1964,269946.762,134973.381,27000,48201_1343152,Bing,P,0,3,1,1,1,0.24,0.03,29.67433004,-95.47840431,A/AE,16.45697021,53.99268616,54.56534,56.04881,56.8604,58.35556
68797,487463980,76X6MGFC+P48-3-4-6-3,4.82E+14,RES,RES1-1SNB,W,1,2371,no_basement,0.5,1964,277289.87,138644.935,27000,48201_1343158,Bing,P,0,2,1,1,1,0.24,0.03,29.67427703,-95.47968626,A/AE,16.56526756,54.34799243,54.63299,56.12421,56.93062,58.41948
68799,487463982,76X6MGFC+PXQ-3-3-3-3,4.82E+14,RES,RES1-1SNB,W,1,2219,no_basement,0.5,1964,267787.391,133893.695,27000,48201_1343162,Bing,P,0,2,0,1,0,0.24,0.03,29.674338,-95.4775225,A/AE,16.46687508,54.02518243,54.53433,56.01488,56.82903,58.32719
68800,487463983,76X6MGFC+HPG-3-3-2-3,4.82E+14,RES,RES1-2SNB,W,2,2669,no_basement,0.5,1964,297354.269,148677.134,27000,48201_1343163,Bing,P,0,2,0,1,0,0.24,0.03,29.67394627,-95.47817355,A/AE,16.60598946,54.48159445,54.55366,56.03579,56.84829,58.34453
